moves,pushes,dir_pushes,rev_pushes,box_changes,corner_goals,fDiv,fEmp,rating,seed
217,35,29,8,25,0,0.8686603839337084,42,0.7599327229344041,1743757275020
108,22,21,4,16,2,0.8803803913579624,41,0.7453463703130692,1743758068926
505,100,78,33,60,0,0.8669515570838507,40,0.7307397269686271,1743757529041
256,48,40,17,31,2,0.8756702654341827,42,0.7237472446612127,1743757521270
126,17,16,7,11,2,0.8630351156816918,43,0.7193027570704327,1743757928862
70,14,13,2,10,3,0.8463305650328612,33,0.7165499523376435,1743757430876
116,15,13,5,10,2,0.869494955609762,48,0.7137599383221854,1743757630300
174,28,23,9,19,3,0.8635154964279235,40,0.7121107700578047,1743758000345
143,29,23,8,19,2,0.875623906428622,46,0.7088008112943323,1743757271129
257,29,22,7,20,4,0.880319853229977,47,0.7060378646358804,1743757257231
230,53,37,22,32,2,0.8647699898299256,43,0.7045297932951491,1743757558000
96,18,15,3,11,0,0.8679165593938621,42,0.7013584289542171,1743756845284
150,23,20,5,14,2,0.8797937289552548,46,0.6957741149098512,1743757497844
127,11,10,3,7,3,0.8799482425614672,43,0.6883859433357591,1743757329489
146,23,17,6,13,0,0.850984980377703,40,0.6878422148498343,1743757275565
146,24,20,7,14,2,0.8670773425762088,42,0.6865612374149282,1743757183969
366,44,35,17,24,1,0.8810779654856296,45,0.6861589220900691,1743757217756
113,23,17,5,14,1,0.8796814579775623,45,0.6856168104711514,1743758004699
145,16,13,5,9,0,0.881516713985984,42,0.6812674207564979,1743758288657
148,30,20,16,16,1,0.870618068380706,41,0.6770512944089864,1743757396181
113,23,18,3,14,2,0.8768879286238361,45,0.6768258730035361,1743757148659
249,33,24,16,18,2,0.8799554693970659,44,0.6762132074399695,1743757664660
62,21,14,9,12,2,0.8731349087079281,49,0.6748926192694256,1743757880152
105,16,13,2,11,5,0.8809824013499944,51,0.6746444411336253,1743757417246
198,46,33,15,26,3,0.8640554067992157,37,0.6742255184122281,1743757927541
115,22,18,6,12,1,0.8758030148217794,44,0.6737719455708238,1743757353489
248,36,24,12,20,1,0.8732658631796106,46,0.6734896628129993,1743757357398
249,41,32,9,24,3,0.8773143225550921,41,0.6727502663184814,1743756862767
179,32,24,15,16,1,0.8815168789177987,41,0.6709841023380323,1743757183550
175,35,29,16,18,2,0.8715772529263508,48,0.6700582392908133,1743758069840
289,39,30,17,22,4,0.8680518070313785,45,0.6687022868859326,1743757384531
125,27,18,9,14,0,0.8865951700590875,44,0.6632401145645981,1743756830302
180,26,18,7,15,3,0.879955469397066,44,0.661916668667248,1743757552245
268,45,31,13,23,1,0.8714811332799185,45,0.6615184878148772,1743757970460
158,21,18,9,10,1,0.8761132089653054,45,0.6603180918563125,1743757191607
174,40,28,15,22,4,0.8822150676843992,51,0.6565416214580663,1743758030617
191,32,25,14,15,1,0.8773950538378771,47,0.6560225107379669,1743757061190
205,47,33,11,25,3,0.8785266970549148,44,0.6523818489676372,1743758288923
112,23,17,4,13,3,0.8706180683807059,41,0.6517970358552381,1743757532686
277,43,32,16,21,2,0.8818868247067045,44,0.6514938826299395,1743758308157
149,28,21,11,14,2,0.8706921915529053,43,0.6514204425573213,1743757042152
308,40,32,16,18,1,0.885697305322684,49,0.6510925092781042,1743758100869
89,14,12,2,8,3,0.8785718765568903,49,0.6500399828057309,1743757370070
227,42,30,12,23,4,0.8813737861700012,41,0.6491464152032065,1743757446257
272,61,38,21,31,2,0.8769018119180542,40,0.6490749660769255,1743757996045
173,33,23,12,17,2,0.8796446249071433,46,0.6486608107880815,1743757489478
82,13,12,5,7,4,0.8778336064861684,48,0.647760206757305,1743757332525
176,38,24,18,20,3,0.8781719987732101,46,0.6467055547340018,1743757458209
163,28,18,4,15,1,0.878525191119074,46,0.6462226669861384,1743758525759
138,36,26,13,18,3,0.8797937289552545,46,0.6455796253280949,1743756949714
138,20,16,7,10,2,0.8766149315361554,43,0.6453511436210684,1743757711157
119,28,19,11,13,0,0.8795992063984778,47,0.6449422350107912,1743756895992
277,48,37,13,24,3,0.873660032434432,48,0.644190794558732,1743757929401
157,32,21,10,16,2,0.8703952625278236,45,0.6435919004258561,1743757537723
128,26,20,12,13,3,0.8796814579775621,45,0.6431924463610698,1743757724643
60,16,13,7,8,3,0.8813112572715365,47,0.6427250030491424,1743757709607
155,21,16,11,10,2,0.8732037137592249,42,0.642670173909447,1743757915326
184,36,23,14,17,1,0.8668355628868459,45,0.6425769498701199,1743758070130
110,23,16,4,13,3,0.8831932883254658,41,0.6417283524529144,1743758292798
280,48,32,17,21,0,0.874034000716624,44,0.6412070863027532,1743757601194
132,18,13,1,10,2,0.8741785208413395,46,0.6409288840584055,1743757329216
198,30,21,10,15,2,0.8698975423107143,47,0.6399642149321807,1743757867573
158,28,19,11,13,1,0.879916226160049,43,0.639595269725856,1743756866690
216,40,28,14,18,1,0.8775886741838557,48,0.638794451661536,1743756873677
164,31,25,12,14,2,0.8835100604944198,46,0.6373304227907848,1743757767315
188,31,19,13,16,3,0.8660541464811387,42,0.6372662389567849,1743757344332
142,21,15,6,11,3,0.8697010262906338,45,0.6369284152986127,1743757335244
240,37,25,12,16,0,0.8785912020855529,43,0.6353764275602479,1743758069559
101,29,20,4,15,3,0.8762108486554843,41,0.6329041883697605,1743757613277
231,38,28,16,17,2,0.8780119811139235,47,0.6327089419901588,1743758042854
248,44,30,16,18,0,0.8789287823979963,45,0.6324024107281141,1743758000899
112,17,13,5,9,3,0.8846730855843362,42,0.6319277569173143,1743757503214
279,58,37,33,25,2,0.8689483507110679,45,0.6318480603278123,1743757369734
308,49,30,30,22,3,0.8747384893135441,46,0.6313076027266106,1743757297884
197,33,22,10,16,3,0.8787369181049289,48,0.6294301229336104,1743757353203
220,41,26,16,17,0,0.8688225463696714,44,0.6283710513670919,1743756945273
43,13,10,2,7,3,0.8822443196590654,45,0.6276565573687358,1743758070423
177,33,21,9,17,3,0.8689416589730389,41,0.627615262062664,1743757994945
105,28,19,8,15,4,0.8614366788046138,43,0.6275562623558139,1743757149042
124,18,16,6,8,2,0.8838610874472379,47,0.6269940315086193,1743757272608
167,27,20,12,13,4,0.879403084460841,49,0.6263306072028134,1743757721013
336,58,38,24,23,1,0.8727165457448797,44,0.6252803501116666,1743757332851
98,22,14,4,11,2,0.8801469213011188,46,0.6245314345149644,1743757354043
218,39,23,13,17,1,0.8676161403194682,41,0.6242137414305993,1743757275278
92,22,17,9,9,1,0.8700230948352247,48,0.6233067001000229,1743757297594
149,31,20,10,14,1,0.8756702654341828,42,0.6228286736513864,1743756956301
260,43,26,15,20,3,0.881266355089188,46,0.6224078774962095,1743758135627
137,20,14,5,9,1,0.8834451938606858,49,0.6221289437646729,1743757142641
112,26,17,9,13,3,0.8793190239784123,44,0.6219397563954445,1743757293255
196,31,23,7,14,2,0.8706390370532762,46,0.6215904458537085,1743758094506
103,15,11,1,7,0,0.8724835078754123,42,0.6213671043491221,1743758070693
188,27,20,8,11,1,0.885089246371097,50,0.6207481034378134,1743757993638
167,28,19,11,13,3,0.8756429290885756,47,0.6193106896548056,1743757034326
133,26,18,5,12,2,0.8796814579775624,45,0.6186421967453342,1743756866263
213,52,30,24,22,2,0.8796446249071435,46,0.6184972251157111,1743757366517
93,21,14,10,9,1,0.8858681037434312,46,0.6184965031887717,1743757257521
97,21,14,8,9,1,0.870695247737114,47,0.6180252474586118,1743757192158
161,23,17,11,9,1,0.8787756749172577,48,0.6178839919949072,1743758539348
175,27,18,12,11,1,0.8809181459273329,49,0.6177816994039678,1743757308249
218,35,25,7,15,1,0.881802866508193,47,0.6177520954133653,1743757263093
87,22,16,5,10,2,0.8791428322749814,48,0.6169478973759651,1743757500633
106,17,12,9,8,3,0.8817824323681294,48,0.6168681319945617,1743757929131
150,27,17,9,13,3,0.8692105180794909,42,0.6168430003790993,1743757308552
143,25,17,14,11,3,0.8740340007166241,44,0.6161519798732713,1743756840299
83,13,9,5,6,1,0.8747966705409873,45,0.6133241102999298,1743757557381
462,70,48,21,26,1,0.8774141208463865,46,0.6129152788817082,1743757488643
87,19,12,8,8,1,0.8745858137272088,45,0.6126738056590401,1743757457222
196,28,20,11,13,4,0.8796814579775623,45,0.6126693957011449,1743758004961
104,28,18,9,13,3,0.8791631424735687,44,0.6121547326339128,1743757500924
79,21,13,10,10,4,0.8864266445969488,41,0.6116801971282385,1743757684873
179,34,21,12,13,0,0.8850054407617097,48,0.611397091478242,1743757034009
267,34,22,15,13,1,0.8731167591314994,46,0.6102407193405316,1743757916780
71,17,10,3,8,1,0.8838610874472381,47,0.6100701602236581,1743757191896
201,37,25,15,16,3,0.8797696395007862,51,0.6097126835412617,1743757219082
183,30,21,11,14,4,0.8501576180691839,39,0.6096918977387471,1743757533318
117,21,16,9,8,1,0.8727181296964757,47,0.6096835120376269,1743757041322
213,42,24,14,19,3,0.859838241927536,43,0.6095039215321298,1743756914743
118,22,15,6,9,1,0.8841569160264267,48,0.6077051188295156,1743758075639
121,31,23,13,13,3,0.8739661166118786,49,0.607473935939003,1743758001591
264,65,40,18,29,4,0.8807169244209686,45,0.6062729518921587,1743757184261
139,26,18,9,10,1,0.8866816748329996,47,0.6062659283616458,1743757273805
181,35,22,16,14,2,0.8811388159009336,46,0.6054256742603471,1743757529691
258,60,37,19,22,1,0.8675276364786867,44,0.6053186521729705,1743757400198
162,31,22,12,13,3,0.8741652625928562,40,0.6027952509843588,1743757149427
264,46,25,11,22,4,0.8774464461097555,42,0.6025746760813275,1743757532094
169,36,23,15,14,2,0.8749697404147371,48,0.6024697415200372,1743758534834
340,43,27,11,18,2,0.8808172187007538,45,0.6015655368803785,1743757189381
110,30,19,14,12,2,0.8731535919958726,43,0.6013298394776776,1743757498127
173,41,24,13,17,2,0.8707641207637692,47,0.601192416956272,1743757189054
239,42,25,16,18,3,0.8740021762465774,46,0.6008013532443652,1743758059832
115,27,17,8,12,3,0.8743913465000196,41,0.6000180164552966,1743757712725
281,54,33,20,21,2,0.8688735702037478,44,0.5990483969647239,1743757726112
238,53,32,13,21,2,0.8720384361713729,48,0.5980662481775957,1743757654052
151,42,26,13,18,3,0.8796446249071433,46,0.5979974656045078,1743757041016
180,26,16,7,11,2,0.8833800803822571,45,0.597924667114233,1743757923329
262,48,29,22,16,1,0.8669727429186141,47,0.5977049760502635,1743757309204
324,71,38,34,26,2,0.8693715017333005,41,0.5975922478343398,1743756873311
235,59,30,20,22,1,0.8584941308348819,42,0.597527950381068,1743757998326
259,52,38,16,19,2,0.8699088848153884,48,0.5973985884806399,1743757184555
179,32,19,16,13,3,0.8819951583132598,50,0.5970009768820093,1743757217474
175,41,25,12,17,3,0.8625419726074467,39,0.5965639631059794,1743757533021
120,31,20,11,12,2,0.875249095857892,49,0.5961995678422203,1743756895713
124,29,17,14,11,2,0.8833900917927472,47,0.595293839026651,1743757061463
153,25,18,4,11,3,0.8792769174583543,41,0.5951245818130633,1743756948682
163,36,24,9,15,3,0.8694042084735545,42,0.5946530274676218,1743757423204
249,63,35,24,22,1,0.8769018119180545,40,0.5946520669589681,1743758135345
109,23,13,9,10,3,0.8819986833108387,48,0.5942771286560223,1743757422307
72,18,13,7,8,4,0.8693699666872282,40,0.5939531452078206,1743756841948
131,29,17,10,12,2,0.8810323384161969,46,0.5930417004027762,1743758293111
191,28,18,6,12,3,0.8694262590186508,41,0.5926132262141778,1743757724917
106,21,16,5,9,3,0.879163623127792,49,0.5925572883553514,1743757657396
240,43,28,9,17,2,0.8797469068994433,48,0.5920469121168235,1743758069261
170,38,24,16,15,3,0.8775416600346408,46,0.591904550765777,1743757041599
199,38,23,15,14,2,0.8839406650837175,48,0.5902191195881923,1743757580553
163,38,25,8,15,2,0.8809339076328465,48,0.5899791853077246,1743757333396
185,22,16,10,8,2,0.8785718765568903,49,0.589123717785073,1743757713024
122,20,13,5,9,3,0.8694980384053499,46,0.5890342801678967,1743757248504
55,10,8,2,4,1,0.8786254681191329,51,0.5885190601206501,1743756945572
107,21,15,9,9,4,0.8746775319956149,41,0.5884952773421124,1743757606730
94,19,13,6,8,3,0.8720530311583581,45,0.5879997180440178,1743756852543
218,34,21,8,14,3,0.8669573869080045,45,0.5878382035863348,1743757993050
204,41,25,16,14,1,0.8774574153028899,41,0.5870199423998632,1743758113581
324,79,41,29,27,1,0.8581425437202226,50,0.586979434186639,1743758101990
193,39,23,15,14,2,0.8735088726683771,44,0.5850327943607487,1743758000621
139,40,22,17,15,3,0.8603649408697983,45,0.5847330367228649,1743757232163
200,44,26,10,16,2,0.8790371117114694,45,0.5836947874271374,1743757366959
340,52,30,22,18,2,0.872730651809937,42,0.5835769850497805,1743756896287
160,28,20,8,11,3,0.8573203767988735,44,0.5834114502217743,1743757722056
144,28,18,15,10,3,0.8828472080461214,48,0.5831720164359168,1743758538798
233,35,23,8,14,3,0.8820319041030356,47,0.5830531744186344,1743757334088
167,33,18,15,13,3,0.8784148095243411,45,0.58245384509104,1743758308503
173,34,21,6,12,1,0.873450053004017,45,0.5810692794859531,1743758043138
205,29,24,10,11,5,0.8777172087003139,42,0.5805354796534009,1743757355236
118,22,12,9,8,1,0.8781795427316449,40,0.5804615325683873,1743757531810
122,27,17,6,10,1,0.8629651090854192,38,0.5799985793898599,1743758289207
336,61,37,16,20,2,0.882042706211548,44,0.5790043034891957,1743757642376
315,56,27,25,18,1,0.8655838610510418,40,0.5789455847776671,1743757557652
197,42,22,14,15,2,0.8700121773841979,45,0.5768329361246785,1743757872466
132,28,18,13,10,3,0.8763739557501811,45,0.5763946055041496,1743757183247
298,46,25,7,15,0,0.8842278710953902,47,0.5763033157155525,1743758004393
216,40,23,13,15,3,0.8746515250470163,47,0.5762433738534665,1743757044292
86,22,15,9,8,3,0.8665508270864601,42,0.5757561053513082,1743757370377
56,12,8,2,5,2,0.8814072837096285,47,0.5750856407452791,1743757345021
47,15,10,4,6,3,0.8706003041499986,44,0.5728269533248324,1743756839205
269,52,24,18,18,2,0.8792134667446718,42,0.5707512207121813,1743756839464
279,65,33,24,19,1,0.8807169244209686,45,0.5701789430675651,1743757993340
140,35,21,12,13,4,0.8805906104400371,47,0.5689816008793434,1743757970778
172,35,18,9,12,1,0.8837977737042775,48,0.5685935228285504,1743757653111
115,31,15,14,10,1,0.8842278710953905,47,0.5685331508006896,1743757253526
113,22,15,4,8,2,0.8851317906764644,46,0.5685031221324284,1743758043874
115,31,18,7,11,2,0.8617395042223287,44,0.567885912428054,1743756840028
155,28,16,17,8,1,0.8729399113803977,46,0.5672798327992449,1743758075360
192,38,24,14,13,3,0.87707674135865,45,0.5671638985784554,1743757503528
229,37,25,6,14,4,0.8756471333169356,44,0.5661932532509034,1743758306536
182,29,18,8,9,1,0.8754748023805108,46,0.5647405787646201,1743756896575
104,19,13,5,7,3,0.8683709872362603,44,0.5645400841266671,1743757750868
193,37,23,7,12,2,0.8757294459069433,44,0.5643490161624786,1743757501498
65,18,11,5,7,3,0.8604205729939919,39,0.5640033914895639,1743757995602
132,25,17,5,9,3,0.8740337705362221,42,0.5639213831086703,1743757400479
60,19,11,4,7,2,0.8714540839019893,46,0.5636094898910439,1743757999793
157,26,17,7,8,1,0.870234265250552,42,0.5632127465610192,1743757218200
160,37,24,9,13,3,0.871334568587992,49,0.5626997287963111,1743757188722
161,41,22,13,14,3,0.8740021762465774,46,0.561870263617201,1743757990876
166,50,30,15,15,2,0.848491182169701,42,0.5604460804941841,1743757308855
110,29,16,7,11,3,0.8823989902217323,46,0.5589545962458471,1743757034741
116,32,18,23,8,1,0.8741898822214675,44,0.5588067899172993,1743757035290
98,23,16,4,8,3,0.8780763928818073,43,0.5582929580838749,1743757042614
146,33,15,18,10,1,0.877996580255538,42,0.5581312446783189,1743757867058
98,28,15,11,11,5,0.8717383955245877,36,0.5573748216051889,1743758306260
194,37,22,8,11,1,0.8747161871196465,45,0.5570115045271636,1743756839761
128,31,18,7,9,0,0.8666830178653627,47,0.5564117729673901,1743757354670
155,29,17,4,12,5,0.8706560093126993,45,0.5563822784239982,1743757218809
70,12,9,3,5,5,0.8804855828899057,43,0.5560954603147333,1743756873053
245,49,27,18,15,3,0.8772218387807105,51,0.5556526672412065,1743756949398
157,34,15,17,11,2,0.8844013661372474,48,0.5550117080001167,1743758289467
131,27,17,8,10,5,0.8790263027586569,40,0.5530780148539914,1743757528740
234,54,27,20,18,4,0.8761132089653053,45,0.5529456382793615,1743757218488
141,24,15,6,8,2,0.8799422047624379,45,0.5525807099268714,1743757354973
186,30,18,6,11,4,0.8560119808909253,48,0.5514887624231759,1743758290093
134,39,20,9,11,1,0.8619501411621119,47,0.5508798930038755,1743758102429
202,52,24,18,17,3,0.8625318311458261,44,0.5505916783263018,1743756842773
114,30,17,9,9,2,0.8807102758650205,42,0.5503444628914053,1743757061752
91,23,13,6,7,1,0.880936288055138,47,0.5470775008830634,1743757496954
95,21,14,6,7,3,0.8721016948713146,47,0.5469156824140998,1743757497565
131,35,20,10,10,2,0.876799232594882,47,0.5464922617327724,1743757456894
117,29,17,10,7,0,0.8765056953164161,51,0.5462495949033338,1743757999514
174,27,14,4,9,2,0.8689573174046715,43,0.5460500452835699,1743757332231
96,21,11,7,6,0,0.874775098257914,43,0.5450153352305159,1743757500066
161,42,23,18,13,4,0.8778716540742311,50,0.544817425928965,1743758539057
76,23,13,10,7,3,0.8754765750401188,42,0.5445263852230362,1743757907317
112,25,14,10,7,2,0.865496516124659,43,0.5429123557603523,1743756862480
192,42,21,9,12,1,0.8773049850692133,48,0.5426363879653362,1743758540827
164,47,24,23,12,3,0.8859038301169687,50,0.5395791653741607,1743756945839
121,19,12,3,6,2,0.8865285132266346,49,0.5385376300795885,1743758307453
78,12,8,1,4,2,0.8810323384161967,46,0.5289532540442202,1743757500343
162,48,23,15,10,1,0.8791895291828719,45,0.5270462813953583,1743757184871
95,21,12,5,6,2,0.8754189727281155,45,0.5264363704819541,1743756848537
103,23,11,4,7,2,0.8742350785719529,38,0.525970891541432,1743758043585
121,32,17,10,8,2,0.8804025028339669,46,0.5253588474299992,1743757642753
170,34,18,6,9,2,0.8844013661372477,48,0.5243502943644349,1743758071012
102,33,17,9,8,2,0.8587491491410246,44,0.5194574185514718,1743757607082
152,20,10,7,6,3,0.8840602903163812,43,0.5184178555305273,1743758535119
212,43,21,11,9,1,0.8823989902217323,46,0.5177090479104061,1743756914452
147,33,15,12,9,3,0.8761827977697211,47,0.5155287798334304,1743758307133
73,10,7,0,3,2,0.8805300420222213,46,0.5019264223496444,1743758116686
52,12,7,5,3,3,0.8714952047687309,44,0.4976563793356084,1743757489204
133,33,16,16,7,4,0.8581004483845602,39,0.4963933318999655,1743756897730
135,51,17,12,9,1,0.8741790239976792,46,0.49374202507556,1743758031124
84,27,13,4,6,2,0.8750451936222443,48,0.4932301170980682,1743757995310
81,15,9,4,4,5,0.8832524779743528,50,0.4865307912706531,1743757488384
